"corpus","user/isabelle.gribomont/jcds_react"
"subcorpus","-"
Item,Frequency (focus),Frequency (reference),Relative frequency (focus),Relative frequency (reference),Score
"militante",10969,397114,265.99957,20.26807,12.554
"despojo",2100,62862,50.92525,3.20838,12.339
"subdesarrollado",1224,29410,29.68215,1.50104,12.268
"aniquilar",2238,68786,54.27177,3.51073,12.253
"lenin",3025,99437,73.35661,5.07511,12.240
"miseria",6387,231436,154.88551,11.81212,12.167
"ejército",34179,1318298,828.84491,67.28383,12.153
"enarbolar",1388,36753,33.65917,1.87581,12.052
"somoza",1054,23725,25.55963,1.21089,12.013
"trinchera",1936,58703,46.94823,2.99611,11.999
"montañas",1038,23161,25.17163,1.18210,11.994
"clandestino",4609,166798,111.76881,8.51310,11.854
"azucarero",1932,59946,46.85123,3.05955,11.787
"heroísmo",1125,27791,27.28138,1.41841,11.694
"desenmascarar",1329,36098,32.22841,1.84238,11.690
"heroico",3456,123987,83.80842,6.32810,11.573
"capitalismo",9811,387390,237.91794,19.77177,11.502
"oportunista",1967,63629,47.69999,3.24752,11.466
"luchador",4729,178449,114.67882,9.10775,11.445
"ofensiva",4689,177559,113.70882,9.06233,11.400
"www",1572,47769,38.12119,2.43805,11.379
"masa",27592,1144310,669.10931,58.40376,11.281
"miliciano",1429,42690,34.65342,2.17883,11.216
"mercenario",2380,85252,57.71529,4.35113,10.973
"farc",5596,231174,135.70369,11.79875,10.681
"reformista",2027,72535,49.15499,3.70207,10.667
"ideológico",9254,396748,224.41061,20.24938,10.608
"che",3990,162809,96.75799,8.30951,10.501
"transnacional",3519,142066,85.33617,7.25082,10.464
"comandante",10045,439508,243.59245,22.43179,10.438
"rebeldía",2302,87205,55.82378,4.45080,10.425
"destacamento",1524,51871,36.95718,2.64741,10.407
"dictadura",11955,528582,289.91019,26.97798,10.398
"marxista",3487,142000,84.56017,7.24745,10.374
"militancia",3357,137558,81.40765,7.02074,10.274
"reagan",1259,40696,30.53090,2.07706,10.247
"chiapas",4599,195768,111.52631,9.99169,10.237
"subversión",1049,31219,25.43838,1.59337,10.195
"patriótico",2434,95797,59.02479,4.88933,10.192
"tiranía",1765,64695,42.80146,3.30193,10.182
"enríquez",1327,44745,32.17991,2.28371,10.104
"caballería",2462,99125,59.70380,5.05918,10.018
"edmundo",1095,34434,26.55388,1.75746,9.993
"vereda",4104,179881,99.52250,9.18084,9.874
"armar",35999,1765517,872.98004,90.10917,9.593
"nes",1180,41026,28.61514,2.09390,9.572
"ra",1518,58986,36.81168,3.01055,9.428
"secretariado",1432,54827,34.72617,2.79828,9.406
"guatemalteco",1970,83102,47.77274,4.24139,9.305
"fuerzas",5889,284633,142.80896,14.52721,9.262
"subversivo",1400,54470,33.95017,2.78006,9.246
"girón",1065,37519,25.82638,1.91491,9.203
"dominación",3116,145428,75.56338,7.42241,9.090
"caña",5313,260369,128.84090,13.28882,9.087
"militar",47152,2451874,1143.44177,125.13973,9.073
"monopolio",3415,162070,82.81416,8.27179,9.040
"popular",57076,3003780,1384.09985,153.30814,8.976
"po",1856,81149,45.00822,4.14172,8.948
"mo",1365,55987,33.10141,2.85749,8.840
"patrulla",2941,143781,71.31960,7.33835,8.673
"patriota",1862,85321,45.15372,4.35465,8.619
"triunfar",5140,267299,124.64561,13.64251,8.581
"masacre",3362,168894,81.52890,8.62008,8.579
"comités",1289,54165,31.25840,2.76450,8.569
"gringo",1583,70886,38.38794,3.61791,8.529
"coyuntura",3111,157186,75.44213,8.02252,8.472
"táctico",3112,157521,75.46638,8.03962,8.459
"propaganda",5034,266425,122.07510,13.59791,8.431
"brigada",4196,221296,101.75351,11.29459,8.358
"contradicción",7207,397534,174.77061,20.28950,8.256
"batallón",2390,121159,57.95779,6.18376,8.207
"enemigo",19100,1096757,463.17731,55.97673,8.147
"saqueo",1956,97275,47.43324,4.96476,8.120
"fascismo",1924,95871,46.65723,4.89310,8.087
"descontento",2434,126000,59.02479,6.43084,8.078
"policiaco",1459,68872,35.38093,3.51512,8.058
"confrontación",3009,160422,72.96861,8.18768,8.051
"agudizar",1581,76836,38.33944,3.92159,7.993
"comunismo",2384,124843,57.81229,6.37179,7.978
"minar",1854,94667,44.95972,4.83165,7.881
"narcotráfico",3899,218966,94.55122,11.17568,7.848
"em",1680,84922,40.74020,4.33428,7.825
"terrorismo",6522,385291,158.15929,19.66464,7.702
"hegemonía",2004,106991,48.59724,5.46065,7.677
"progresista",3744,216574,90.79245,11.05359,7.615
"demagogia",1102,51799,26.72363,2.64374,7.609
"injusticia",3903,227364,94.64822,11.60430,7.589
"democrático",17797,1098829,431.57938,56.08248,7.578
"burocrático",2046,111421,49.61575,5.68675,7.570
"derrocar",1695,89398,41.10396,4.56273,7.569
"urss",1954,106428,47.38474,5.43192,7.523
"jacobo",1158,57167,28.08164,2.91771,7.423
"genocidio",2065,115585,50.07650,5.89927,7.403
"partidos",1144,56523,27.74214,2.88484,7.399
"traidor",1947,108544,47.21498,5.53991,7.372
"camagüey",1052,51120,25.51113,2.60908,7.346
"emancipación",1342,70118,32.54366,3.57871,7.326
"pugna",1232,62989,29.87615,3.21486,7.326
"compañero",37475,2417144,908.77325,123.36718,7.315
"luchar",19361,1252664,469.50656,63.93397,7.246
"exterminio",1261,65826,30.57940,3.35965,7.244
"prisionero",3600,219608,87.30044,11.20844,7.233
"reprimir",2916,175043,70.71336,8.93392,7.219
"soberanía",5748,361440,139.38969,18.44732,7.219
"libertario",1475,81062,35.76893,4.13728,7.157
"consigna",2928,178065,71.00436,9.08815,7.138
"desaparecido",1814,103975,43.98972,5.30672,7.134
"descomposición",1529,84997,37.07843,4.33811,7.133
"vanguardia",5090,322499,123.43311,16.45983,7.127
"guevara",2194,130323,53.20476,6.65148,7.084
"cia",2352,140928,57.03629,7.19274,7.084
"hermanas",1015,51347,24.61387,2.62067,7.074
"combatir",10171,669380,246.64798,34.16409,7.043
"nariño",1234,66867,29.92465,3.41279,7.008
"rebelde",4698,302941,113.92706,15.46163,6.982
"movilización",6962,457162,168.82933,23.33282,6.979
"guerra",53591,3638867,1299.58826,185.72197,6.965
"torturar",2404,147234,58.29729,7.51459,6.964
"nomás",1006,51922,24.39562,2.65002,6.958
"cerco",1374,77192,33.31967,3.93976,6.948
"corregimiento",1051,55165,25.48688,2.81553,6.942
"extrajudicial",1041,54485,25.24438,2.78083,6.941
"ta",1384,78131,33.56217,3.98768,6.930
"organizativo",2918,184941,70.76186,9.43909,6.874
"feudal",1022,54656,24.78362,2.78956,6.804
"combate",10739,740770,260.42206,37.80772,6.736
"oaxaca",3599,239564,87.27618,12.22696,6.674
"impunidad",3730,251190,90.45295,12.82034,6.617
"democratización",1113,63377,26.99038,3.23466,6.610
"comando",5661,392791,137.27994,20.04743,6.570
"colombiano",15080,1076622,365.69180,54.94907,6.554
"sembrar",4660,323021,113.00555,16.48648,6.520
"pueblos",2013,130986,48.81549,6.68532,6.482
"bolivariano",2916,197419,70.71336,10.07595,6.475
"explotar",7710,562053,186.96843,28.68629,6.332
"victorioso",1090,65319,26.43263,3.33378,6.330
"norteamericano",10099,748506,244.90198,38.20255,6.273
"africa",1199,74564,29.07590,3.80563,6.258
"tortura",4003,289715,97.07323,14.78659,6.212
"dignidad",6299,470073,152.75151,23.99178,6.152
"contingente",1745,118519,42.31646,6.04902,6.145
"democracia",15840,1208414,384.12192,61.67552,6.145
"preso",6211,463987,150.61749,23.68116,6.143
"pretexto",1966,135825,47.67574,6.93229,6.136
"dominante",4589,341058,111.28381,17.40705,6.100
"pinochet",1158,73966,28.08164,3.77511,6.090
"dialéctico",1092,69179,26.48113,3.53079,6.065
"político",96618,7559461,2342.99805,385.82285,6.060
"cuba",18009,1409636,436.72043,71.94557,6.001
"gonzalo",4044,304138,98.06749,15.52272,5.996
"herido",3277,243482,79.46764,12.42693,5.993
"títere",1139,74367,27.62089,3.79557,5.968
"inconformidad",1108,72172,26.86913,3.68354,5.950
"explotación",9899,774443,240.05194,39.52633,5.948
"allende",1798,127531,43.60172,6.50898,5.940
"consecuente",2053,148269,49.78550,7.56741,5.928
"agresión",5562,431481,134.87917,22.02210,5.902
"indígena",14490,1157476,351.38425,59.07573,5.866
"paz",28316,2281306,686.66644,116.43422,5.856
"socialista",12934,1036717,313.65106,52.91238,5.836
"milicia",1380,96667,33.46517,4.93373,5.808
"miserable",1421,100148,34.45942,5.11139,5.802
"marx",2441,184865,59.19454,9.43521,5.768
"rebelión",2338,177063,56.69678,9.03701,5.748
"cese",2240,170207,54.32027,8.68709,5.711
"porvenir",1291,91365,31.30691,4.66312,5.705
"fox",2960,231422,71.78036,11.81141,5.681
"soldado",8461,693468,205.18028,35.39350,5.665
"erp",1059,73135,25.68088,3.73269,5.638
"crimen",9493,784086,230.20641,40.01850,5.637
"reconciliación",1652,124505,40.06120,6.35454,5.583
"traición",1935,148804,46.92398,7.59472,5.576
"cuartel",2513,198504,60.94055,10.13133,5.565
"institucionalidad",1143,82117,27.71789,4.19112,5.532
"fidel",3469,282310,84.12366,14.40865,5.524
"estudiantil",3600,294685,87.30044,15.04025,5.505
"org",1311,97284,31.79191,4.96522,5.497
"sureste",1782,138754,43.21371,7.08178,5.471
"cauca",1859,145726,45.08097,7.43762,5.461
"fuerza",49608,4300572,1203.00000,219.49432,5.460
"habano",5722,482532,138.75919,24.62766,5.453
"asesinar",8181,700722,198.39024,35.76373,5.424
"aplastar",1776,139644,43.06821,7.12721,5.422
"criminal",6619,565209,160.51155,28.84737,5.411
"delincuencia",2334,189898,56.59978,9.69209,5.387
"armamento",1609,126801,39.01844,6.47172,5.356
"nicaragua",3746,316578,90.84095,16.15764,5.353
"martí",2053,166629,49.78550,8.50448,5.343
"fujimori",1034,76220,25.07463,3.89015,5.332
"na",1664,132606,40.35220,6.76800,5.323
"tregua",1198,91152,29.05165,4.65225,5.317
"provocación",1093,82031,26.50538,4.18673,5.303
"sexenio",1011,74755,24.51687,3.81538,5.299
"peronista",1721,138500,41.73446,7.06882,5.296
"nosotros",56662,5086829,1374.06030,259.62363,5.276
"ideología",4351,378443,105.51228,19.31513,5.243
"agrario",5576,490844,135.21867,25.05190,5.229
"desaparición",4628,408792,112.22955,20.86409,5.179
"saquear",1065,81971,25.82638,4.18367,5.175
"tropa",5431,483645,131.70241,24.68447,5.167
"latina",7635,689001,185.14967,35.16551,5.147
"solidaridad",6912,623115,167.61684,31.80279,5.140
"hermanos",1544,127629,37.44219,6.51398,5.116
"políticamente",2106,180111,51.07076,9.19258,5.109
"encarcelar",1840,156713,44.62022,7.99838,5.070
"organizaciones",1336,109558,32.39816,5.59167,5.067
"surgimiento",1385,114339,33.58641,5.83568,5.060
"lucio",1440,120854,34.92017,6.16820,5.011
"forjar",2072,180838,50.24625,9.22968,5.010
"camilo",2287,202339,55.46003,10.32706,4.985
"arma",18077,1714728,438.36942,87.51698,4.964
